"Jerry is an extremely short basketball player
How tall do you think Jerry is? (ft and in)","Jerry is a short basketball player
How tall do you think Jerry is? (ft and in)","John is an extremely tall basketball player
How tall do you think John is? (ft and in)","John is a tall basketball player
How tall do you think John is? (ft and in)","Amy is an extremely short woman 
How tall do you think Amy is? (ft and in)","Amy is a short woman 
How tall do you think Amy is? (ft and in)","Sarah is an extremely tall woman 
How tall do you think Sarah is? (ft and in)","Sarah is a tall woman 
How tall do you think Sarah is? (ft and in)","It's extremely cold for winter in Boston 
What temperature do you think it is? (in F)","It's cold for winter in Boston 
What temperature do you think it is? (in F)","It's an extremely hot for winter in Boston 
What temperature do you think it is? (in F)","It's  hot for winter in Boston 
What temperature do you think it is? (in F)","It's very cold for summer in Boston 
What temperature do you think it is? (in F)","It's cold for summer in Boston 
What temperature do you think it is? (in F)","It's very hot for summer in Boston 
What temperature do you think it is? (in F)","It's hot for summer in Boston 
What temperature do you think it is? (in F)","Taylor is a very short gymnast
How tall do you think Taylor is? (ft and in)","Taylor is a short gymnast
How tall do you think Taylor is? (ft and in)","Maya is a very tall gymnast
How tall do you think Maya is? (ft and in)","Maya is a  tall gymnast
How tall do you think Maya is? (ft and in)","Gary is a very short man 
How tall do you think Gary is? (ft and in)","Gary is a short man 
How tall do you think Gary is? (ft and in)","Bill is a very tall man 
How tall do you think Bill is? (ft and in)","Bill is a tall man 
How tall do you think Bill is? (ft and in)"
Negative,Negative,Positive,Positive,Negative,Negative,Positive,Positive,Negative,Negative,Positive,Positive,Negative,Negative,Positive,Positive,Negative,Negative,Positive,Positive,Negative,Negative,Positive,Positive
Height,Height,Height,Height,Height,Height,Height,Height,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Height,Height,Height,Height,Height,Height,Height,Height
Extremely,None,Extremely,None,Extremely,None,Extremely,None,Extremely,None,Extremely,None,Very,None,Very,None,Very,None,Very,None,Very,None,Very,None
63,66,120,80,48,60,72,72,10,18,43,60,65,64,87,90,35,56,74,69,53,65,80,72
41,60,80,78,48,60,792,72,18,33,60,60,60,60,84,80,50,59,80,65,60,65,80,80
56,65,80,80,48,60,70,72,10,42,31,45,60,60,88,95,36,59,80,67,60,60,80,80
54,67,80,80,36,59,78,72,30,30,63,50,60,64,92,88,54,56,70,68,54,60,96,80
65,68,84,83,42,60,75,72,22,30,47,60,60,62,80,85,42,58,72,66,58,65,78,74
62,64,80,80,42,60,80,72,7,15,60,30,50,70,96,86,36,45,80,69,60,60,77,72
70,65,84,76,51,53,78,72,10,22,60,58,62,64,90,85,54,56,70,695,54,60,78,72
59,66,84,80,42,60,72,70,32,10,50,50,62,64,95,80,42,36,72,68,62,65,77,72
60,60,84,80,48,62,80,72,17,33,52,40,58,55,92,85,42,46,80,66,60,65,80,78
