"Jerry is an extremely short basketball player
How tall do you think Jerry is? (ft and in)","Jerry is a short basketball player
How tall do you think Jerry is? (ft and in)","John is an extremely tall basketball player
How tall do you think John is? (ft and in)","John is a tall basketball player
How tall do you think John is? (ft and in)","Amy is an extremely short woman 
How tall do you think Amy is? (ft and in)","Amy is a short woman 
How tall do you think Amy is? (ft and in)","Sarah is an extremely tall woman 
How tall do you think Sarah is? (ft and in)","Sarah is a tall woman 
How tall do you think Sarah is? (ft and in)","It's extremely cold for winter in Boston 
What temperature do you think it is? (in F)","It's cold for winter in Boston 
What temperature do you think it is? (in F)","It's an extremely hot for winter in Boston 
What temperature do you think it is? (in F)","It's  hot for winter in Boston 
What temperature do you think it is? (in F)","It's very cold for summer in Boston 
What temperature do you think it is? (in F)","It's cold for summer in Boston 
What temperature do you think it is? (in F)","It's very hot for summer in Boston 
What temperature do you think it is? (in F)","It's hot for summer in Boston 
What temperature do you think it is? (in F)","Taylor is a very short gymnast
How tall do you think Taylor is? (ft and in)","Taylor is a short gymnast
How tall do you think Taylor is? (ft and in)","Maya is a very tall gymnast
How tall do you think Maya is? (ft and in)","Maya is a  tall gymnast
How tall do you think Maya is? (ft and in)","Gary is a very short man 
How tall do you think Gary is? (ft and in)","Gary is a short man 
How tall do you think Gary is? (ft and in)","Bill is a very tall man 
How tall do you think Bill is? (ft and in)","Bill is a tall man 
How tall do you think Bill is? (ft and in)"
2.330827068,1.203007519,19.09774436,4.060150376,6.317829457,1.666666667,2.984496124,2.984496124,2.562459962,2.049967969,0.448430493,0.64061499,0.960922486,0.896860987,2.370275464,2.562459962,12.85714286,4.962406015,1.804511278,0.07518797,4.379844961,0.271317829,6.085271318,2.984496124
10.60150376,3.458646617,4.060150376,3.308270677,6.317829457,1.666666667,282.0542636,2.984496124,2.049967969,1.089045484,0.64061499,0.64061499,0.64061499,0.64061499,2.178090967,1.921844971,7.218045113,3.834586466,4.060150376,1.578947368,1.666666667,0.271317829,6.085271318,6.085271318
4.962406015,1.578947368,4.060150376,4.060150376,6.317829457,1.666666667,2.209302326,2.984496124,2.562459962,0.512491992,1.217168482,0.320307495,0.64061499,0.64061499,2.434336963,2.882767457,12.48120301,3.834586466,4.060150376,0.827067669,1.666666667,1.666666667,6.085271318,6.085271318
5.714285714,0.827067669,4.060150376,4.060150376,10.96899225,2.054263566,5.310077519,2.984496124,1.281229981,1.281229981,0.832799488,0.64061499,0.64061499,0.896860987,2.69058296,2.434336963,5.714285714,4.962406015,0.30075188,0.45112782,3.992248062,1.666666667,12.28682171,6.085271318
1.578947368,0.45112782,5.563909774,5.187969925,8.643410853,1.666666667,4.147286822,2.984496124,1.793721973,1.281229981,0.192184497,0.64061499,0.64061499,0.768737988,1.921844971,2.242152466,10.22556391,4.210526316,1.052631579,1.203007519,2.441860465,0.271317829,5.310077519,3.759689922
2.706766917,1.954887218,4.060150376,4.060150376,8.643410853,1.666666667,6.085271318,2.984496124,2.754644459,2.242152466,0.64061499,1.281229981,0.320307495,1.281229981,2.946828956,2.306213965,12.48120301,9.097744361,4.060150376,0.07518797,1.666666667,1.666666667,4.92248062,2.984496124
0.30075188,1.578947368,5.563909774,2.556390977,5.15503876,4.379844961,5.310077519,2.984496124,2.562459962,1.793721973,0.64061499,0.512491992,0.768737988,0.896860987,2.562459962,2.242152466,5.714285714,4.962406015,0.30075188,235.2631579,3.992248062,1.666666667,5.310077519,2.984496124
3.834586466,1.203007519,5.563909774,4.060150376,8.643410853,1.666666667,2.984496124,2.209302326,1.153106983,2.562459962,0.128122998,1.281229981,0.768737988,0.896860987,2.882767457,1.921844971,10.22556391,12.48120301,1.052631579,0.45112782,0.891472868,0.271317829,4.92248062,2.984496124
3.458646617,3.458646617,5.563909774,4.060150376,6.317829457,0.891472868,6.085271318,2.984496124,2.114029468,1.089045484,0.128122998,0.64061499,0.512491992,0.320307495,2.69058296,2.242152466,10.22556391,8.721804511,4.060150376,1.203007519,1.666666667,0.271317829,6.085271318,5.310077519
4.962406015,0.827067669,5.563909774,4.060150376,6.317829457,1.666666667,6.860465116,2.984496124,2.562459962,2.049967969,0.320307495,0.128122998,0.64061499,0.512491992,2.562459962,2.434336963,7.969924812,4.210526316,1.052631579,1.804511278,1.666666667,1.666666667,5.310077519,6.085271318
7.969924812,1.203007519,5.563909774,4.060150376,2.054263566,0.891472868,2.984496124,2.984496124,2.242152466,1.921844971,0.64061499,0.320307495,0.64061499,0.64061499,2.562459962,2.754644459,9.097744361,7.969924812,4.060150376,0.827067669,10.96899225,1.666666667,2.984496124,2.984496124
7.969924812,0.827067669,5.563909774,4.060150376,6.317829457,1.666666667,6.085271318,2.984496124,2.242152466,1.089045484,0.960922486,0.64061499,0.64061499,0.960922486,2.818705958,2.242152466,7.218045113,7.969924812,4.060150376,1.203007519,3.217054264,0.271317829,3.759689922,2.984496124
